baseClass,equivalentClass
UMLS:C0153364,DOID:8602
UMLS:C1335348,DOID:10207
UMLS:C1519869,DOID:3699
UMLS:C1511188,DOID:6594
UMLS:C1333081,DOID:7717
UMLS:C0279609,DOID:5182
UMLS:C0162283,DOID:12387
UMLS:C1518868,DOID:7851
UMLS:C1112486,DOID:4798
UMLS:C0270163,DOID:424
UMLS:C1332139,DOID:3024
UMLS:C0011974,DOID:2770
UMLS:C1335327,DOID:5595
UMLS:C1511312,DOID:3011
UMLS:C0877388,DOID:6621
UMLS:C1335931,DOID:8310
UMLS:C0238454,DOID:3575
UMLS:C0022782,DOID:8738
UMLS:C0079588,DOID:1700
UMLS:C0079840,DOID:4376
UMLS:C0302327,DOID:7614
UMLS:C0155395,DOID:10516
UMLS:C0037619,DOID:10349
UMLS:C1274184,DOID:9165
UMLS:C1512420,DOID:4455
UMLS:C0022568,DOID:4677
UMLS:C0037859,DOID:11997
UMLS:C1514910,DOID:6483
UMLS:C0156669,DOID:13129
UMLS:C0155017,DOID:11661
UMLS:C1335309,DOID:7735
UMLS:C1516284,DOID:7632
UMLS:C1332997,DOID:7933
UMLS:C0432529,DOID:9603
UMLS:C0018179,DOID:12318
UMLS:C0349532,DOID:10540
UMLS:C0022578,DOID:10126
UMLS:C0220765,DOID:14731
UMLS:C0339394,DOID:11864
UMLS:C0149845,DOID:5391
UMLS:C0030584,DOID:4333
UMLS:C0152204,DOID:10293
UMLS:C0001733,DOID:2236
UMLS:C1513364,DOID:8302
UMLS:C1332191,DOID:5922
UMLS:C0032000,DOID:3829
UMLS:C0024759,DOID:1081
UMLS:C0035468,DOID:11336
UMLS:C0026773,DOID:10934
UMLS:C0278804,DOID:10816
UMLS:C0019087,DOID:2213
UMLS:C0001621,DOID:9553
UMLS:C0023968,DOID:13523
UMLS:C0155020,DOID:1432
UMLS:C1336890,DOID:3750
UMLS:C1518167,DOID:6776
UMLS:C0153621,DOID:14059
UMLS:C1334070,DOID:7455
UMLS:C1512735,DOID:4299
UMLS:C0026780,DOID:10264
UMLS:C0152258,DOID:13964
UMLS:C1333514,DOID:4232
UMLS:C0038557,DOID:12897
UMLS:C0220748,DOID:14773
UMLS:C0598790,DOID:2784
UMLS:C0220659,DOID:14669
UMLS:C1304508,DOID:496
UMLS:C0153595,DOID:12276
UMLS:C0158303,DOID:14181
UMLS:C0010153,DOID:11405
UMLS:C1336005,DOID:4434
UMLS:C0155108,DOID:13447
UMLS:C1336709,DOID:5331
UMLS:C0152257,DOID:13717
UMLS:C0334540,DOID:470
UMLS:C0011645,DOID:4400
UMLS:C1266042,DOID:4471
UMLS:C0004576,DOID:9643
UMLS:C0152073,DOID:0050596
UMLS:C1333122,DOID:7207
UMLS:C0011608,DOID:8505
UMLS:C1334631,DOID:6839
UMLS:C1333448,DOID:5040
UMLS:C1332135,DOID:6686
UMLS:C1336699,DOID:6048
UMLS:C0155375,DOID:14523
UMLS:C1332188,DOID:6380
UMLS:C0033581,DOID:14654
UMLS:C0025048,DOID:11049
UMLS:C0018013,DOID:11379
UMLS:C0155179,DOID:9140
UMLS:C1336975,DOID:2098
UMLS:C0155361,DOID:13788
UMLS:C0155626,DOID:9408
UMLS:C1335980,DOID:7142
UMLS:C0235369,DOID:2239
UMLS:C0155148,DOID:13341
UMLS:C0003505,DOID:5232
UMLS:C1370505,DOID:6634
UMLS:C1334377,DOID:2877
UMLS:C0026760,DOID:12721
UMLS:C0362046,DOID:11716
